country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Malaui,MWIR72FL.DTA,MWIR72FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,72,1640,MWIR72DT.zip,473,
Malaui,MWIR7AFL.DTA,MWIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,4948,MWIR7ADT.zip,483,
Malaui,MWIR7IFL.DTA,MWIR7IFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7I,1608,MWIR7IDT.zip,512,
Malaui,MWIR81FL.dta,MWIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5879,MWIR81DT.zip,592,
Mali,MLIR01FL.DTA,MLIR01FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,01,1535,MLIR01DT.zip,12,
Mali,MLIR32FL.DTA,MLIR32FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,32,2874,MLIR32DT.zip,77,
Mali,MLIR41FL.DTA,MLIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3473,MLIR41DT.zip,159,
Mali,MLIR53FL.DTA,MLIR53FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,53,4778,MLIR53DT.zip,276,
Mali,MLIR6AFL.DTA,MLIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,4543,MLIR6ADT.zip,405,
Mali,MLIR72FL.DTA,MLIR72FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,72,3793,MLIR72DT.zip,487,
Mali,MLIR7AFL.DTA,MLIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,5384,MLIR7ADT.zip,517,
Mali,MLIR83FL.DTA,MLIR83FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,83,3188,MLIR83DT.zip,574,
Mali,MLIR8AFL.dta,MLIR8AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8A,5727,MLIR8ADT.zip,613,
Moçambique,MZIR31FL.DTA,MZIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2649,MZIR31DT.zip,105,
Moçambique,MZIR41FL.DTA,MZIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,4306,MZIR41DT.zip,174,
