variable,country_count,file_count,labels,themes
b5_10,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_11,37,198,Child is alive | b5$12 | child is alive,historia_reprodutiva | outros
b5_12,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_13,37,198,Child is alive | b5$14 | child is alive,historia_reprodutiva | outros
b5_14,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_15,37,198,Child is alive | b5$16 | child is alive,historia_reprodutiva | outros
b5_16,37,197,Child is alive | child is alive,historia_reprodutiva | outros
b5_17,37,197,Child is alive | b5$18 | child is alive,historia_reprodutiva | outros
b5_18,37,197,Child is alive | child is alive,historia_reprodutiva | outros
b5_19,37,197,"Child is alive | b5$20    ""child is alive"" | b5$20    'child is alive' | child is alive",historia_reprodutiva
b5_20,37,197,Child is alive | child is alive,historia_reprodutiva | outros
b6_01,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$02 | na - age at death,demografia | outros
b6_02,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_03,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$04 | na - age at death,demografia | outros
b6_04,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_05,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$06 | na - age at death,demografia | outros
b6_06,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_07,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$08 | na - age at death,demografia | outros
b6_08,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_09,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$10 | na - age at death,demografia | outros
b6_10,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_11,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$12 | na - age at death,demografia | outros
b6_12,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
b6_13,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | b6$14 | na - age at death,demografia | outros
b6_14,37,193,NA - Age at death | age at death | age at death               -na | age at death (as in questionnaire) | na - age at death,demografia | outros
