normalized_label,country_count,variable_count,countries,variables,examples
source for female condoms vchw,1,1,Etiópia,v762bo,source for female condoms: vchw
source for female condoms vct center,1,1,Tanzânia,s645q,source for female condoms: vct center
source for female condoms vct centre,1,2,Tanzânia,v762bu | v762bw,Source for female condoms: VCT centre | source for female condoms: vct centre
source for female condoms village health post mobile clini,1,1,Tanzânia,v762bd,source for female condoms: village health post (mobile clini
source for female condoms village health worker,1,1,Zimbábue,v762bf,source for female condoms: village health worker
source for female condoms village pharmacy health center,1,1,Chade,v762bg,source for female condoms: village pharmacy/ health center
source for female condoms youth center,1,1,Ruanda,v762bg,source for female condoms: youth center
source for female condoms znfpc cbd depot holder,1,1,Zimbábue,v762be,source for female condoms: znfpc cbd / depot holder
source for female condoms znfpc clinic,1,1,Zimbábue,v762bd,source for female condoms: znfpc clinic
source for fp,1,1,Gana,s331,source for fp
source for fp bar,1,1,Tanzânia,s330t,source for fp: bar
source for fp cbd,1,1,Lesoto,s319k,source for fp--cbd
source for fp cbd worker,1,1,Tanzânia,s330h,source for fp: cbd worker
source for fp chal health center,1,1,Lesoto,s319j,source for fp--chal health center
source for fp chal hospital,1,1,Lesoto,s319i,source for fp--chal hospital
source for fp church,1,1,Lesoto,s319o,source for fp--church
source for fp community health worker,1,1,Lesoto,s319l,source for fp--community health worker
source for fp dispensary,1,2,Tanzânia,s330f | s330l,source for fp: dispensary
source for fp district hospital,1,1,Tanzânia,s330d,source for fp: district hospital
source for fp friends relatives neighbors,1,1,Tanzânia,s330v,"source for fp: friends, relatives, neighbors"
source for fp guest house hotel,1,1,Tanzânia,s330u,source for fp: guest house/ hotel
source for fp health centre,1,1,Tanzânia,s330e,source for fp: health centre
source for fp information,1,1,Gana,sh216,source for fp information
source for fp ngo,1,1,Tanzânia,s330q,source for fp: ngo
source for fp other,2,2,Lesoto | Tanzânia,s319x | s330x,source for fp--other | source for fp: other
source for fp peer educators,1,1,Lesoto,s319p,source for fp--peer educators
source for fp pharmacy,1,1,Tanzânia,s330p,source for fp: pharmacy
source for fp private dispensary,1,1,Tanzânia,s330o,source for fp: private dispensary
source for fp private health centre,1,1,Tanzânia,s330n,source for fp: private health centre
source for fp private specialized hospital,1,1,Tanzânia,s330m,source for fp: private specialized hospital
source for fp referral specialized hospital,1,1,Tanzânia,s330b,source for fp: referral/ specialized hospital
source for fp regional hospital,1,1,Tanzânia,s330c,source for fp: regional hospital
source for fp religious voluntary district hospital,1,1,Tanzânia,s330j,source for fp: religious/voluntary district hospital
source for fp religious voluntary health centre,1,1,Tanzânia,s330k,source for fp: religious/voluntary health centre
source for fp religious voluntary hospital,1,1,Tanzânia,s330i,source for fp: religious/voluntary hospital
source for fp shop kiosk,1,1,Tanzânia,s330s,source for fp: shop/ kiosk
source for fp support groups,1,1,Lesoto,s319m,source for fp--support groups
source for fp vct centre,1,1,Tanzânia,s330r,source for fp: vct centre
source for fp village health post,1,1,Tanzânia,s330g,source for fp: village health post
