filename,country_code,country_name,recode_code,recode_name,recode_description,category_folder,phase_version,format,surv_id,url,relative_path
RWIR8ADT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,8A,Stata (.dta),607,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR8ADT.zip&Tp=1&Ctry_Code=RW&surv_id=607&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR8ADT.zip
RWIR91DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,91,Stata (.dta),624,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR91DT.zip&Tp=1&Ctry_Code=RW&surv_id=624&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR91DT.zip
RWKR21DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR21DT.zip
RWKR41DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,41,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR41DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR41DT.zip
RWKR53DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,53,Stata (.dta),252,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR53DT.zip&Tp=1&Ctry_Code=RW&surv_id=252&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR53DT.zip
RWKR5ADT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,5A,Stata (.dta),323,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR5ADT.zip&Tp=1&Ctry_Code=RW&surv_id=323&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR5ADT.zip
RWKR61DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,61,Stata (.dta),364,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR61DT.zip&Tp=1&Ctry_Code=RW&surv_id=364&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR61DT.zip
RWKR6IDT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,6I,Stata (.dta),449,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR6IDT.zip&Tp=1&Ctry_Code=RW&surv_id=449&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR6IDT.zip
RWKR70DT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,70,Stata (.dta),468,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR70DT.zip&Tp=1&Ctry_Code=RW&surv_id=468&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR70DT.zip
RWKR7ADT.zip,RW,Ruanda,KR,Crianças (Children's Recode),"Crianças menores de 5 anos de idade, vacinação, nutrição, amamentação e episódios de doenças.",Criancas_KR,7A,Stata (.dta),540,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWKR7ADT.zip&Tp=1&Ctry_Code=RW&surv_id=540&dm=1&dmode=nm,Ruanda/Criancas_KR/RWKR7ADT.zip
