country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Burundi,BUKR71FL.DTA,BUKR71FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",71,1136,BUKR71DT.zip,463,
Burundi,BUHR61FL.DTA,BUHR61FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",61,2454,BUHR61DT.zip,346,
Burundi,BUHR6AFL.DTA,BUHR6AFL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",6A,1688,BUHR6ADT.zip,446,
Burundi,BUHR71FL.DTA,BUHR71FL,HR,domicilio_contexto,"Domicílio, saneamento, bens e contexto",71,3096,BUHR71DT.zip,463,
Burundi,BUMR61FL.DTA,BUMR61FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,61,520,BUMR61DT.zip,346,
Burundi,BUMR71FL.DTA,BUMR71FL,MR,casal_parceiro,Informações masculinas relacionadas ao casal,71,764,BUMR71DT.zip,463,
Burundi,BUHH02FL.DTA,BUHH02FL,HH,modulo_especial,Questionário domiciliar especial,02,284,BUHH02DT.zip,16,
Burundi,BUPR61FL.DTA,BUPR61FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,61,346,BUPR61DT.zip,346,
Burundi,BUPR6AFL.DTA,BUPR6AFL,PR,moradores_contexto,Moradores do domicílio e composição familiar,6A,276,BUPR6ADT.zip,446,
Burundi,BUPR71FL.DTA,BUPR71FL,PR,moradores_contexto,Moradores do domicílio e composição familiar,71,415,BUPR71DT.zip,463,
Burundi,BUBR01FL.dta,BUBR01FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",01,429,BUBR01DT.zip,16,
Burundi,BUBR61FL.DTA,BUBR61FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",61,936,BUBR61DT.zip,346,
Burundi,BUBR71FL.DTA,BUBR71FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",71,1136,BUBR71DT.zip,463,
Burundi,BUIR02FL.DTA,BUIR02FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,02,1528,BUIR02DT.zip,16,
Burundi,BUIR61FL.DTA,BUIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,3952,BUIR61DT.zip,346,
Burundi,BUIR6AFL.DTA,BUIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,3227,BUIR6ADT.zip,446,
Burundi,BUIR71FL.DTA,BUIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,5022,BUIR71DT.zip,463,
Burundi,BUSQ02FL.DTA,BUSQ02FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,02,23,BUSQ02DT.zip,16,
Camarões,CMHW22FL.DTA,CMHW22FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",22,7,CMHW22DT.zip,38,
Camarões,CMHW31FL.DTA,CMHW31FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",31,7,CMHW31DT.zip,101,
Camarões,CMHW44FL.DTA,CMHW44FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",44,7,CMHW44DT.zip,232,
Camarões,CMCR21FL.DTA,CMCR21FL,CR,casal_parceiro,Informações conjugais e do parceiro,21,1066,CMCR21DT.zip,38,
Camarões,CMCR31FL.DTA,CMCR31FL,CR,casal_parceiro,Informações conjugais e do parceiro,31,1617,CMCR31DT.zip,101,
Camarões,CMCR44FL.dta,CMCR44FL,CR,casal_parceiro,Informações conjugais e do parceiro,44,2427,CMCR44DT.zip,232,
Camarões,CMCR61FL.DTA,CMCR61FL,CR,casal_parceiro,Informações conjugais e do parceiro,61,2535,CMCR61DT.zip,337,
Camarões,CMCR71FL.DTA,CMCR71FL,CR,casal_parceiro,Informações conjugais e do parceiro,71,2832,CMCR71DT.zip,511,
Camarões,CMKR21FL.DTA,CMKR21FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",21,646,CMKR21DT.zip,38,
Camarões,CMKR31FL.DTA,CMKR31FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",31,669,CMKR31DT.zip,101,
Camarões,CMKR44FL.dta,CMKR44FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",44,951,CMKR44DT.zip,232,
Camarões,CMKR61FL.DTA,CMKR61FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",61,1062,CMKR61DT.zip,337,
Camarões,CMKR71FL.DTA,CMKR71FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",71,1212,CMKR71DT.zip,511,
Camarões,CMKR82FL.DTA,CMKR82FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",82,733,CMKR82DT.zip,563,
